supplier,sku,laya,laya_prob
IEK,0000352,"Контакторы, пускатели, управление",0.9319
IEK,010300001_,Измерения и инструмент,0.4143
IEK,010300002_,УЗО и дифавтоматы,0.3865
IEK,010300003_,УЗО и дифавтоматы,0.3823
IEK,010300004_,Измерения и инструмент,0.4224
IEK,010300005_,Измерения и инструмент,0.4737
IEK,010300006_,Измерения и инструмент,0.4065
IEK,010300007_,УЗО и дифавтоматы,0.4492
IEK,010300008_,УЗО и дифавтоматы,0.3996
IEK,010300009_,УЗО и дифавтоматы,0.3885
IEK,010300010_,Измерения и инструмент,0.3856
IEK,010300011_,Измерения и инструмент,0.4094
IEK,010300012_,Измерения и инструмент,0.3966
IEK,010300013_,УЗО и дифавтоматы,0.4321
IEK,010300014_,Измерения и инструмент,0.4128
IEK,010300015_,Измерения и инструмент,0.4464
IEK,010300016_,Измерения и инструмент,0.4002
IEK,010300017_,Измерения и инструмент,0.3699
IEK,010300018_,Измерения и инструмент,0.4157
IEK,010300019_,Измерения и инструмент,0.3186
IEK,010300020_,УЗО и дифавтоматы,0.3143
IEK,010300021_,УЗО и дифавтоматы,0.364
IEK,010300023_,УЗО и дифавтоматы,0.3438
IEK,010300024_,УЗО и дифавтоматы,0.3395
IEK,010300052_,УЗО и дифавтоматы,0.3092
IEK,010300053_,УЗО и дифавтоматы,0.609
IEK,010300057_,УЗО и дифавтоматы,0.3228
IEK,010300068_,Измерения и инструмент,0.3909
IEK,010300069_,Измерения и инструмент,0.4417
IEK,010300074_,УЗО и дифавтоматы,0.5556
IEK,010300075_,УЗО и дифавтоматы,0.6047
IEK,010300094_,УЗО и дифавтоматы,0.6057
IEK,010300095_,УЗО и дифавтоматы,0.5547
IEK,010300096_,УЗО и дифавтоматы,0.5173
IEK,010300103_,УЗО и дифавтоматы,0.4087
IEK,010300108_,УЗО и дифавтоматы,0.6712
IEK,010300115_,УЗО и дифавтоматы,0.3979
IEK,010300121_,УЗО и дифавтоматы,0.6254
IEK,010300122_,УЗО и дифавтоматы,0.6268
IEK,010300123_,УЗО и дифавтоматы,0.3691
IEK,010300124_,Измерения и инструмент,0.4176
IEK,010300125_,"Кабель, провод, СКС",0.3861
IEK,010300127_,УЗО и дифавтоматы,0.4729
IEK,010300130_,УЗО и дифавтоматы,0.6653
IEK,010300131_,УЗО и дифавтоматы,0.3763
IEK,010300142_,УЗО и дифавтоматы,0.6116
IEK,010300144_,УЗО и дифавтоматы,0.6308
IEK,010300150_,УЗО и дифавтоматы,0.451
IEK,010300153_,УЗО и дифавтоматы,0.7577
IEK,010300156_,УЗО и дифавтоматы,1.0
